model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,42,16.0,7,0.10613916896502762,0.955026455026455,0.000285724057869903
TemporalResNet18Small,42,16.0,8,0.07267281067941118,0.9603174603174603,0.00028144600200657956
TemporalResNet18Small,42,16.0,9,0.0623103604405461,0.9814814814814815,0.0002766491888253023
TemporalResNet18Small,42,16.0,10,0.05804172088392079,0.9735449735449735,0.00027135254915624217
TemporalResNet18Small,42,16.0,11,0.046229602392379415,0.9814814814814815,0.0002655769864163684
TemporalResNet18Small,42,16.0,12,0.04596933059613494,0.9761904761904762,0.0002593452941132117
TemporalResNet18Small,42,16.0,13,0.061681756290935856,0.9814814814814815,0.0002526820658893033
TemporalResNet18Small,42,16.0,14,0.03492963347269003,0.9735449735449735,0.0002456135984623034
TemporalResNet18Small,42,16.0,15,0.040568754022174025,0.9814814814814815,0.00023816778784387096
TemporalResNet18Small,42,16.0,16,0.03377139813571429,0.9735449735449735,0.00023037401924684944
TemporalResNet18Small,42,16.0,17,0.043406396816648984,0.9814814814814815,0.00022226305111525726
TemporalResNet18Small,42,16.0,18,0.04152518510647282,0.9814814814814815,0.00021386689373476087
TemporalResNet18Small,42,16.0,19,0.04259430199368473,0.9814814814814815,0.00020521868290270169
TemporalResNet18Small,42,24.0,1,0.8071563200039023,0.1984126984126984,0.0002997040092642407
TemporalResNet18Small,42,24.0,2,0.25290487377959137,0.8968253968253969,0.0002988172051971717
TemporalResNet18Small,42,24.0,3,0.14569043001050458,0.8888888888888888,0.0002973430876093033
TemporalResNet18Small,42,24.0,4,0.10757481394445195,0.9682539682539683,0.00029528747416929463
TemporalResNet18Small,42,24.0,5,0.09906801674515009,0.9708994708994709,0.00029265847744427303
TemporalResNet18Small,42,24.0,6,0.06834123102838502,0.9656084656084656,0.0002894664728832377
TemporalResNet18Small,42,24.0,7,0.07229683166095878,0.9682539682539683,0.000285724057869903
TemporalResNet18Small,42,24.0,8,0.048495108227464646,0.9708994708994709,0.00028144600200657956
TemporalResNet18Small,42,24.0,9,0.05767649496727459,0.9682539682539683,0.0002766491888253023
TemporalResNet18Small,42,24.0,10,0.055761962348376125,0.9708994708994709,0.00027135254915624217
TemporalResNet18Small,42,24.0,11,0.042411246494499635,0.9735449735449735,0.0002655769864163684
TemporalResNet18Small,42,24.0,12,0.045533131712171084,0.9682539682539683,0.0002593452941132117
TemporalResNet18Small,42,24.0,13,0.036812278222950065,0.9682539682539683,0.0002526820658893033
TemporalResNet18Small,42,24.0,14,0.032173130938591546,0.9735449735449735,0.0002456135984623034
TemporalResNet18Small,42,24.0,15,0.045199646289213836,0.9761904761904762,0.00023816778784387096
TemporalResNet18Small,42,24.0,16,0.03534901467227267,0.9656084656084656,0.00023037401924684944
TemporalResNet18Small,42,24.0,17,0.033766325188266555,0.9682539682539683,0.00022226305111525726
TemporalResNet18Small,42,24.0,18,0.045939364735899935,0.9682539682539683,0.00021386689373476087
TemporalResNet18Small,42,24.0,19,0.03673590983859921,0.9735449735449735,0.00020521868290270169
TemporalResNet18Small,42,24.0,20,0.03462561718462145,0.9708994708994709,0.00019635254915624208
TemporalResNet18Small,42,24.0,21,0.03318340275847517,0.9682539682539683,0.00018730348307472816
TemporalResNet18Small,42,24.0,22,0.03844055299893679,0.9682539682539683,0.00017810719718785867
TemporalResNet18Small,42,24.0,23,0.035199923035072384,0.9682539682539683,0.00016879998503464564
TemporalResNet18Small,42,24.0,24,0.029743018213005543,0.9708994708994709,0.000159418577929397
TemporalResNet18Small,42,24.0,25,0.031208390604553965,0.9761904761904762,0.00015
TemporalResNet18Small,84,2.0,1,0.8815074124756981,0.22486772486772486,0.0002997040092642407
TemporalResNet18Small,84,2.0,2,0.257824894040823,0.9603174603174603,0.0002988172051971717
TemporalResNet18Small,84,2.0,3,0.16144132274476922,0.9603174603174603,0.0002973430876093033
TemporalResNet18Small,84,2.0,4,0.12787394663866827,0.9576719576719577,0.00029528747416929463
TemporalResNet18Small,84,2.0,5,0.09736721672336845,0.9814814814814815,0.00029265847744427303
TemporalResNet18Small,84,2.0,6,0.06667095518616192,0.9761904761904762,0.0002894664728832377
TemporalResNet18Small,84,2.0,7,0.059871711891473216,0.9761904761904762,0.000285724057869903
TemporalResNet18Small,84,2.0,8,0.047380182491478455,0.9761904761904762,0.00028144600200657956
TemporalResNet18Small,84,2.0,9,0.05559924677671755,0.9259259259259259,0.0002766491888253023
TemporalResNet18Small,84,2.0,10,0.04535837397527169,0.9761904761904762,0.00027135254915624217
TemporalResNet18Small,84,2.0,11,0.03574352383421844,0.9761904761904762,0.0002655769864163684
TemporalResNet18Small,84,2.0,12,0.030349980506477605,0.9788359788359788,0.0002593452941132117
TemporalResNet18Small,84,2.0,13,0.039695342947893286,0.9761904761904762,0.0002526820658893033
TemporalResNet18Small,84,2.0,14,0.03776880968464812,0.9841269841269841,0.0002456135984623034
TemporalResNet18Small,84,2.0,15,0.04355999391683487,0.9788359788359788,0.00023816778784387096
TemporalResNet18Small,84,2.0,16,0.035969753475750196,0.9761904761904762,0.00023037401924684944
TemporalResNet18Small,84,2.0,17,0.03693764188381679,0.9761904761904762,0.00022226305111525726
TemporalResNet18Small,84,2.0,18,0.040711367584984094,0.9814814814814815,0.00021386689373476087
TemporalResNet18Small,84,2.0,19,0.03832809481708169,0.9788359788359788,0.00020521868290270169
TemporalResNet18Small,84,2.0,20,0.03875047794067273,0.9761904761904762,0.00019635254915624208
TemporalResNet18Small,84,2.0,21,0.03540408075787127,0.9814814814814815,0.00018730348307472816
